Store,Date,Temp,Fuel_Price,CPI,Unemployment,IsHoliday,Year,Month,Type,Area
1,2/5/2010,42.31,2.572,211.0963582,8.106,False,2010,2,a,151315
1,2/12/2010,38.51,2.548,211.24216980000003,8.106,True,2010,2,a,151315
1,2/19/2010,39.93,2.5140000000000002,211.2891429,8.106,False,2010,2,a,151315
1,2/26/2010,46.63,2.5610000000000004,211.3196429,8.106,False,2010,2,a,151315
1,3/5/2010,46.5,2.625,211.3501429,8.106,False,2010,3,a,151315
1,3/12/2010,57.79,2.667,211.3806429,8.106,False,2010,3,a,151315
1,3/19/2010,54.58,2.72,211.21563500000002,8.106,False,2010,3,a,151315
1,3/26/2010,51.45,2.7319999999999998,211.0180424,8.106,False,2010,3,a,151315
1,4/2/2010,62.27,2.719,210.82044989999997,7.808,False,2010,4,a,151315
1,4/9/2010,65.86,2.77,210.62285740000002,7.808,False,2010,4,a,151315
1,4/16/2010,66.32,2.8080000000000003,210.4887,7.808,False,2010,4,a,151315
1,4/23/2010,64.84,2.795,210.4391228,7.808,False,2010,4,a,151315
1,4/30/2010,67.41,2.78,210.3895456,7.808,False,2010,4,a,151315
1,5/7/2010,72.55,2.835,210.33996839999998,7.808,False,2010,5,a,151315
1,5/14/2010,74.78,2.8539999999999996,210.3374261,7.808,False,2010,5,a,151315
1,5/21/2010,76.44,2.826,210.6170934,7.808,False,2010,5,a,151315
1,5/28/2010,80.44,2.759,210.89676060000002,7.808,False,2010,5,a,151315
1,6/4/2010,80.69,2.705,211.1764278,7.808,False,2010,6,a,151315
1,6/11/2010,80.43,2.668,211.4560951,7.808,False,2010,6,a,151315
1,6/18/2010,84.11,2.637,211.4537719,7.808,False,2010,6,a,151315
1,6/25/2010,84.34,2.653,211.33865260000002,7.808,False,2010,6,a,151315
1,7/2/2010,80.91,2.6689999999999996,211.2235333,7.787000000000001,False,2010,7,a,151315
1,7/9/2010,80.48,2.642,211.108414,7.787000000000001,False,2010,7,a,151315
1,7/16/2010,83.15,2.623,211.10038540000002,7.787000000000001,False,2010,7,a,151315
1,7/23/2010,83.36,2.608,211.2351443,7.787000000000001,False,2010,7,a,151315
1,7/30/2010,81.84,2.64,211.36990319999995,7.787000000000001,False,2010,7,a,151315
1,8/6/2010,87.16,2.627,211.5046621,7.787000000000001,False,2010,8,a,151315
1,8/13/2010,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,False,2010,8,a,151315
1,8/20/2010,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,False,2010,8,a,151315
1,8/27/2010,85.22,2.6189999999999998,211.5673056,7.787000000000001,False,2010,8,a,151315
1,9/3/2010,81.21,2.577,211.53124790000004,7.787000000000001,False,2010,9,a,151315
1,9/10/2010,78.69,2.565,211.49519019999997,7.787000000000001,True,2010,9,a,151315
